word,sentence
want,I want to be a baker
be,I want to be a baker
baker,I want to be a baker
get,I can get out of bed
out,I can get out of bed
bed,I can get out of bed
barks,Bear barks at the cars as they cross
cars,Bear barks at the cars as they cross
cross,Bear barks at the cars as they cross
police,Jessie asks the police officer
the,Jessie asks the police officer
asks,Jessie asks the police officer
sat,Humpty Dumpty sat on a wall
on,Humpty Dumpty sat on a wall
wall,Humpty Dumpty sat on a wall
all,"All the King's horses, and all the King's men"
the,"All the King's horses, and all the King's men"
horses,"All the King's horses, and all the King's men"
men,"All the King's horses, and all the King's men"
waves,We see waves at the beach
sand,We see sand at the beach
shells,We see shells at the beach
boats,We see boats at the beach
fish,We see fish at the beach
birds,We see birds at the beach
rocks,We see rocks at the beach
crabs,We see crabs at the beach
we,We see rocks at the beach
see,We see crabs at the beach
at,We see fish at the beach
the,We see birds at the beach
beach,We see waves at the beach
beach,We see sand at the beach
see,We see shells at the beach
the,We see boats at the beach
